/usr/local/lib/python3.12/dist-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
Device: cuda | GPU: NVIDIA A100-SXM4-40GB
Floating config: {'gate_groups': 8, 'gate_hidden': 32, 'gain_min': 0.5, 'gain_max': 2.0, 'bias_max': 0.5, 'norm': 'ren', 'eps': 1e-05, 'bn_momentum': 0.1, 'gn_groups': 8, 'ren_alpha': 0.25, 'ren_scale_min': 0.0, 'ren_scale_max': 0.0, 'ren_detach_scale': True, 'eval_wave': 'running', 'sync_gate_feats': False, 'sync_gate_outputs': False, 'add_energy_entropy': False, 'add_kurtosis': False, 'add_tv': True, 'add_sobel': False, 'wave_smooth_ks': 0, 'learn_feature_scalers': False, 'gain_soft_clip_coef': 0.0, 'dropout_p': 0.0}
Floating blocks: (4, 4, 4, 4) widths: (64, 128, 256, 512)
[FLOATING(depth-matched)] Eval preference: EMA
[FLOATING(depth-matched)] Init: val_loss=2.3331 val_acc=9.58%
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0] Graph break from `Tensor.item()`, consider setting:
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0]     torch._dynamo.config.capture_scalar_outputs = True
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0] or:
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0]     env TORCHDYNAMO_CAPTURE_SCALAR_OUTPUTS=1
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0] to include these operations in the captured graph.
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0] 
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0] Graph break: from user code at:
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0]   File "/content/cifar10_colab_a100_dualbench2.py", line 321, in forward
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0]     x = self.stage1(x)
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0]   File "/usr/local/lib/python3.12/dist-packages/torch/nn/modules/container.py", line 250, in forward
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0]     input = module(input)
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0]   File "/content/FloatingBlock.py", line 625, in forward
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0]     if bool(self.frozen_static.item()):
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0] 
W0116 19:11:14.472000 14544 torch/_dynamo/variables/tensor.py:1048] [0/0] 
[FLOATING(depth-matched)] Epoch 001/300 | train_loss=2.1878 train_acc~=21.24% | val_loss=2.3294 val_acc=9.49% | best=9.49%@1 | elapsed=1.1m
[FLOATING(depth-matched)] Epoch 002/300 | train_loss=2.0456 train_acc~=31.33% | val_loss=2.3240 val_acc=9.61% | best=9.61%@2 | elapsed=1.3m
[FLOATING(depth-matched)] Epoch 003/300 | train_loss=1.9512 train_acc~=37.19% | val_loss=2.3214 val_acc=9.72% | best=9.72%@3 | elapsed=1.5m
[FLOATING(depth-matched)] Epoch 004/300 | train_loss=1.8264 train_acc~=44.31% | val_loss=2.3179 val_acc=10.35% | best=10.35%@4 | elapsed=1.6m
[FLOATING(depth-matched)] Epoch 005/300 | train_loss=1.7392 train_acc~=50.04% | val_loss=2.3124 val_acc=11.01% | best=11.01%@5 | elapsed=1.8m
[FLOATING(depth-matched)] Epoch 006/300 | train_loss=1.6685 train_acc~=56.05% | val_loss=2.3058 val_acc=12.27% | best=12.27%@6 | elapsed=2.0m
[FLOATING(depth-matched)] Epoch 007/300 | train_loss=1.5786 train_acc~=60.09% | val_loss=2.2987 val_acc=14.03% | best=14.03%@7 | elapsed=2.1m
[FLOATING(depth-matched)] Epoch 008/300 | train_loss=1.4933 train_acc~=63.99% | val_loss=2.2916 val_acc=14.70% | best=14.70%@8 | elapsed=2.3m
[FLOATING(depth-matched)] Epoch 009/300 | train_loss=1.5072 train_acc~=64.56% | val_loss=2.2848 val_acc=14.90% | best=14.90%@9 | elapsed=2.5m
[FLOATING(depth-matched)] Epoch 010/300 | train_loss=1.4469 train_acc~=66.76% | val_loss=2.2775 val_acc=15.27% | best=15.27%@10 | elapsed=2.6m
[FLOATING(depth-matched)] Epoch 011/300 | train_loss=1.4614 train_acc~=66.33% | val_loss=2.2701 val_acc=16.32% | best=16.32%@11 | elapsed=2.8m
[FLOATING(depth-matched)] Epoch 012/300 | train_loss=1.4192 train_acc~=69.79% | val_loss=2.2621 val_acc=17.25% | best=17.25%@12 | elapsed=3.0m
[FLOATING(depth-matched)] Epoch 013/300 | train_loss=1.3625 train_acc~=71.07% | val_loss=2.2536 val_acc=17.60% | best=17.60%@13 | elapsed=3.1m
[FLOATING(depth-matched)] Epoch 014/300 | train_loss=1.4086 train_acc~=70.32% | val_loss=2.2452 val_acc=17.50% | best=17.60%@13 | elapsed=3.3m
[FLOATING(depth-matched)] Epoch 015/300 | train_loss=1.3828 train_acc~=70.81% | val_loss=2.2366 val_acc=17.51% | best=17.60%@13 | elapsed=3.4m
[FLOATING(depth-matched)] Epoch 016/300 | train_loss=1.3272 train_acc~=71.43% | val_loss=2.2276 val_acc=17.31% | best=17.60%@13 | elapsed=3.6m
[FLOATING(depth-matched)] Epoch 017/300 | train_loss=1.3375 train_acc~=74.18% | val_loss=2.2184 val_acc=16.80% | best=17.60%@13 | elapsed=3.8m
[FLOATING(depth-matched)] Epoch 018/300 | train_loss=1.3240 train_acc~=74.50% | val_loss=2.2085 val_acc=17.21% | best=17.60%@13 | elapsed=3.9m
[FLOATING(depth-matched)] Epoch 019/300 | train_loss=1.3367 train_acc~=73.15% | val_loss=2.1981 val_acc=17.48% | best=17.60%@13 | elapsed=4.1m
[FLOATING(depth-matched)] Epoch 020/300 | train_loss=1.2936 train_acc~=73.23% | val_loss=2.1875 val_acc=17.94% | best=17.94%@20 | elapsed=4.3m
[FLOATING(depth-matched)] Epoch 021/300 | train_loss=1.3169 train_acc~=74.17% | val_loss=2.1764 val_acc=18.73% | best=18.73%@21 | elapsed=4.4m
